LightBox Source Fields,CoStar Source Fields,Consolidated ERD Fields,LightBox Aligned Fields
_constructionclassid,% 1-Bed,access,Sites_access
_sourceforsfareaid,% 2-Bed,acres,Sites_acres
Assessment_assessmentcomments,% 3-Bed,activestatus,Sales_activestatus
Assessment_assessmentyear,% 4-Bed,activity_description,
Assessment_assessorwebsite,% Studios,actual_price,
Assessment_basetaxes,$Price/Unit,added_at,
Assessment_equalizationratio,Affordable Type,address,Parcel_address
Assessment_historicalassessedvalue1,Amenities,adjustment_comments,Sales_adjustmentcomments
Assessment_historicalassessedvalue2,Architect Name,adr,Improvement_adr
Assessment_historicalassessedvalue3,Avg Unit SF,affordability_status,
Assessment_historicalassessedvalue4,Building Class,all_utilities_to_site,Sites_allutilities
Assessment_historicalimprovvalue1,Building Operating Expenses,allowable_floor_area_sf,Sites_allowablefloorareasf
Assessment_historicalimprovvalue2,Building Park,allowable_units,
Assessment_historicalimprovvalue3,Building Status,allutilities,Sites_utilities
Assessment_historicalimprovvalue4,Building Tax Expenses,amenities,Improvement_amenities
Assessment_historicallandvalue1,Cap Rate,anchor_tenants,
Assessment_historicallandvalue2,City,anchor_type,
Assessment_historicallandvalue3,Closest Transit Stop,anchors,
Assessment_historicallandvalue4,Closest Transit Stop Dist (mi),ancillary_buildings,Improvement_ancillarybuildings
Assessment_historicaltaxes1,Closest Transit Stop Walk Time (min),annual_rent_per_sf,
Assessment_historicaltaxes2,Constr Status,appraisal_date,Sales_appraisaldate
Assessment_historicaltaxes3,Construction Begin,appraisal_file,Parcel_appraisalfile
Assessment_historicaltaxes4,Construction Material,appraisal_usage,Parcel_appraisalusage
Assessment_historicalyear1,Continent,appraised_value,Sales_appraisedvalue
Assessment_historicalyear2,Core Factor,area_category,
Assessment_historicalyear3,Country,area_in_flood_zone,Sites_areainfloodzone
Assessment_historicalyear4,County Name,assessment_year,
Assessment_impliedvalue,Cross Street,assigned_to_user_id,
Assessment_improvementassessment,Developer Name,attribution_id,
Assessment_landassessment,Energy Star,audit_log_id,
Assessment_marketvalue,Features,authority,
Assessment_otherassessment,Fema Flood Zone,average_daily_rate,
Assessment_specialassessments,FEMA Map Date,avg_asking_rent_sf,
Assessment_Subparcels OLD_impliedvalue,FEMA Map Identifier,avg_cap_rate,Sales_caprate
Assessment_Subparcels_,FIRM ID,avg_mf_unit_size,
Assessment_Subparcels_assessinfoid,FIRM Panel Number,back_yard_distance,Zoning_Subrecords_backyarddistance
Assessment_Subparcels_assessmentyear,Flood Risk Area,base_rent_per_mo,
Assessment_Subparcels_basetaxes,Floodplain Area,base_rent_per_year,
Assessment_Subparcels_equalizationratio,For Sale Price,base_rent_sf,
Assessment_Subparcels_id,For Sale Status,base_rent_sf_mo,
Assessment_Subparcels_impliedvalue,Four Bedroom Avg SF,base_taxes,Assessment_basetaxes
Assessment_Subparcels_improvementassessment,Fund Name,basement_size,Improvement_basementsize
Assessment_Subparcels_isdeleted,Gas,basement_use_and_finish,Improvement_basementuseandfinish
Assessment_Subparcels_landassessment,Heating,baths,
Assessment_Subparcels_marketvalue,In SFHA,bedrooms,
Assessment_Subparcels_otherassessment,Land Area (AC),beds,
Assessment_Subparcels_specialassessments,Land Area (SF),book_page_or_ref_doc,Sales_bookpageorrefdoc
Assessment_Subparcels_taxes,Last Sale Date,boundary_comments,
Assessment_Subparcels_taxid,Last Sale Price,buildable_sf,
Assessment_Subparcels_taxingauthority,Latitude,building_amenities,
Assessment_Subparcels_taxrate,Leasing Company Address,building_class,Improvement_buildingclass
Assessment_Subparcels_taxratecode,Leasing Company City State Zip,building_condition,
Assessment_Subparcels_taxrateper,Leasing Company Contact,building_description,Improvement_BuildingDescription
Assessment_Subparcels_taxyear,Leasing Company Fax,building_features,
Assessment_Subparcels_totalassessment,Leasing Company Name,building_quality,
Assessment_taxes,Leasing Company Phone,business_value_adjustment,Sales_businessvalueadjustment
Assessment_taxesperacre,LEED Certified,buyer_type,Sales_buyertype
Assessment_taxespergbam2,Longitude,cap_rate,Sales_toscaprate
Assessment_taxesperhectares,Market Name,care_type_comments,
Assessment_taxesperlandm2,Month Built,category,
Assessment_taxesperlandsf,Month Renovated,cbsa_id,Parcel_cbsa_id
Assessment_taxesperlandunit,Number Of 1 Bedrooms Units,cbsa_name,Parcel_cbsa_name
Assessment_taxesperra,Number Of 2 Bedrooms Units,ceiling_height,Improvement_ceilingheight
Assessment_taxesperram2,Number Of 3 Bedrooms Units,censusblock,Parcel_censusblock
Assessment_taxespersfgba,Number Of 4 Bedrooms Units,censustract,Parcel_censustract
Assessment_taxesperunit,Number of Beds,city,Parcel_city
Assessment_taxid,Number Of Elevators,clean_up_costs,Sales_cleanupcosts
Assessment_taxingauthority,Number Of Parking Spaces,clear_height,Improvement_Subrecords_clearheight
Assessment_taxrate,Number Of Stories,client_name,
Assessment_taxratecode,Number Of Studios Units,column_spacing,Improvement_columnspacing
Assessment_taxrateper,Number Of Units,comm_lease_comments,
Assessment_taxyear,One Bedroom Avg SF,comm_lease_notes,
Assessment_totalassessment,Operation Type,comm_lease_survey_date,
Improvement_adr,Operational Status,comm_lease_terms,
Improvement_amenities,Ops Expense,comm_lease_type,
Improvement_ancillarybuildings,Ops Expense Per SF,comm_rent_concessions,
Improvement_basementsize,Owner Address,comm_rent_per_sf_max,
Improvement_basementuseandfinish,Owner City State Zip,comm_rent_per_sf_min,
Improvement_buildingclass,Owner Contact,comm_size_max,
Improvement_BuildingDescription,Owner Name,comm_size_min,
Improvement_ceilingheight,Owner Phone,comm_vacancy_rate,
Improvement_columnspacing,Parcel Number 1(Min),comm_verification_source,Sales_verificationsource
Improvement_condition,Parcel Number 2(Max),commercial_survey_id,
Improvement_construction,Parent Company,community_fee_max,
Improvement_constructionclass,Parking Ratio,community_fee_min,
Improvement_cooling,Parking Spaces/Unit,commvacancy,
Improvement_coveredparkingspaces,Primary Agent Name,concessions,
Improvement_deferredmaintance,Primary Corridors,condition_id,Improvement_Subrecords_conditionid
Improvement_designappeal,Property Address,conditions_of_sale,Improvement_condition
Improvement_effectiveage,Property Location,conditions_of_sale_adjustment,Sales_conditionsofsaleadjustment
Improvement_exteriorwall,Property Manager Address,confidential,Sales_confidential
Improvement_features,Property Manager City State Zip,construction_class,Improvement_constructionclass
Improvement_ffande,Property Manager Contact,construction_type,Improvement_construction
Improvement_fireplaceorwoodstove,Property Manager Name,contract_rent_max,
Improvement_foundation,Property Manager Phone,contract_rent_min,
Improvement_garage,Property Name,cooling_id,Improvement_Subrecords_coolingid
Improvement_garageparkingspaces,PropertyID,cooling_type,Improvement_cooling
Improvement_gbaother,PropertyType,corner,Sites_corner
Improvement_gbaothermeters,Proposed Land Use,costs_to_finish,
Improvement_gbatotal,RBA,country,Parcel_country
Improvement_gbatotalmeters,Recorded Owner Address,county,Parcel_county
Improvement_heating,Recorded Owner City State Zip,covered_parking_spaces,Improvement_coveredparkingspaces
Improvement_hotelflag,Recorded Owner Contact,craneways,
Improvement_improvmentcomments,Recorded Owner Name,created_at,
Improvement_landscaping,Recorded Owner Phone,created_by_user_id,
Improvement_landtobuildingratio,Sale Company Address,createdby,Parcel_createdby
Improvement_lhoccupancy,Sale Company City State Zip,current_list_price,Sales_currentlistprice
Improvement_noofbuildings,Sale Company Contact,current_lp_percent_diff,Sales_currentlppercentdiff
Improvement_noofelevators,Sale Company Fax,current_rent_per_mo,
Improvement_noofescalators,Sale Company Name,current_use,Sales_currentuse
Improvement_noofgolfholes,Sale Company Phone,custom_fields,
Improvement_noofotherunits,Sales Company,daily_rate_per_unit,
Improvement_noofseats,Sales Contact,daily_rate_per_unit_max,
Improvement_noofspaces,Sales Contact Phone,daily_rate_per_unit_min,
Improvement_noofstories,Secondary Type,data_source,Sales_datasource
Improvement_noofunits,Services,days_on_market,Sales_daysonmarket
Improvement_parking,Sewer,deferred_maintenance,Improvement_deferredmaintance
Improvement_parkingadequacy,Sprinklers,demographics_survey_date,
Improvement_parkingcomments,Star Rating,depth,Sites_depth
Improvement_parkingcondition,State,design_appeal,Improvement_designappeal
Improvement_parkingratiogba,Studio Avg SF,dimensions,Sites_dimensions
Improvement_parkingratiora,Style,diminution_source,Sales_diminutionsource
Improvement_parkingratiora,Subcontinent,discount_rate,Sales_discountrate
Improvement_parkingratiounit,Submarket Cluster,district_name,
Improvement_parkingtype,Submarket Name,district_url,Parcel_districturl
Improvement_perimeter,Tax Year,districtspending,Parcel_districtspending
Improvement_productsegment,Taxes Per SF,drainage,Sites_drainage
Improvement_proportionrenovated,Taxes Total,duration_seconds,
